,description,url,Model,Year,Volume,Run,Price
0,"X-Drive 2.0D 110Kw Model Advantage, Harmann kardonn stereo system, Comfort P",https://ss.com/msg/en/transport/cars/bmw/x1/bfedge.html,X1,2017,2.0D,187 thd.,"19,950  €"
1,Auto īpašnieks pārdod savu BMW X5 3.0d 160kw Sport Paket Facelift 235000km n,https://ss.com/msg/en/transport/cars/bmw/x5/bkkxkc.html,X5,2005,3.0D,235 thd.,"5,250  €"
2,Active Tourer 216 модель 2017 года / Автомобиль в идеальном состоянии /Пригн,https://ss.com/msg/en/transport/cars/bmw/216/bpeolj.html,216,2017,1.5D,160 thd.,"10,250  €"
3,"Pārdodu BMW E46 Special Edition. Facelift. 2004g. 110kW
Auto 1.5 gadu Latvi",https://ss.com/msg/en/transport/cars/bmw/320/bcigj.html,320,2004,2.0D,220 thd.,"3,400  €"
4,"Pārdod BMW 320d
Auto ir ļoti labā stāvoklī
Ekonomisks 4.5l uz 100km
Nesen",https://ss.com/msg/en/transport/cars/bmw/320/bldfnx.html,320,2006,2.0D,328 thd.,"4,500  €"
5,"BMW 320d, 135 kW, 184 Zs, automāts. Tikko ievests. 
Piereģistrēts un izieta",https://ss.com/msg/en/transport/cars/bmw/320/hxgkl.html,320,2013,2.0D,231 thd.,"13,200  €"
6,"BMW 320 2.0l automātiskā ātrumkārba. 
Praktiski perfektā tehniskā un vizuāl",https://ss.com/msg/en/transport/cars/bmw/320/blefhc.html,320,2010,2.0D,284 thd.,"7,800  €"
7,"BMW 530d 160kW, automāts. Nesen izieta TA. Kopts un labi uzturēts auto. 
Ir",https://ss.com/msg/en/transport/cars/bmw/530/ahobn.html,530,2005,3.0D,310 thd.,"4,250  €"
8,"BMW X5 E70, 3.0 173kw dīzelis, auto neprasa iegūldījumus, labā tehniskā, gan",https://ss.com/msg/en/transport/cars/bmw/x5/beixpn.html,X5,2007,3.0D,-,"10,500  €"
9,"BMW 525Xd E61 Facelift , 3.0 Dīzelis, 2008.gada auto neprasa iegūldījumus, l",https://ss.com/msg/en/transport/cars/bmw/525/akkjb.html,525,2008,3.0D,-,"5,350  €"
10,"BMW 530D E61 , 3.0 Dīzelis, 2004.gada auto neprasa iegūldījumus, labā tehnis",https://ss.com/msg/en/transport/cars/bmw/530/giifn.html,530,2004,3.0D,-,"3,990  €"
11,"Pārdod BMW e46 320D(110Kw)

Tehniskā apskate līdz 26.05.2023
Nodoklis nom",https://ss.com/msg/en/transport/cars/bmw/320/bklegd.html,320,2004,2.0D,319 thd.,"2,800  €"
12,"BMW 320i M-pack, Facelift, 2002.g 2.0i Benzīns&gāze 125Kw, auto neprasa iegū",https://ss.com/msg/en/transport/cars/bmw/320/cxdjc.html,320,2002,2.0,-,"3,290  €"
13,"BMW 330D e92 Lci, Facelift, 2010.g 3.0 Dīzelis 180kw motors, auto neprasa ie",https://ss.com/msg/en/transport/cars/bmw/330/gbloo.html,330,2010,3.0D,-,"9,750  €"
14,"BMW 320d 2.0d, 264000km. Tiko ievestā no Vacijas. Individuāl ādas salons. La",https://ss.com/msg/en/transport/cars/bmw/320/eiing.html,320,2003,2.0D,-,"2,950  €"
15,"Pārdodu 2006. gada E90 pre Lci, 2.0 dīzeli 120kw/163hp
Latvijā kopš 2017. g",https://ss.com/msg/en/transport/cars/bmw/320/beipbp.html,320,2006,2.0D,317 thd.,"3,850  €"
16,"Dzinējs un kārba strādā ļoti labi. 
M piekare ar pneimu. Pneima tur gaisu u",https://ss.com/msg/en/transport/cars/bmw/530/ccxem.html,530,2002,3.0,355 thd.,"2,700  €"
17,"Pardodu tikko ievestu no Vācijas ar jaunu Ta, Bmw 325d, fecelift modelis sik",https://ss.com/msg/en/transport/cars/bmw/325/cxled.html,325,2009,2.5D,256 thd.,"7,200  €"
18,"Pārdošanā BMW 320 E91 2012.gada
Pusotru gadu braukts Latvijā, tiek izmantot",https://ss.com/msg/en/transport/cars/bmw/320/bldopl.html,320,2012,2.0D,260 thd.,"9,600  €"
19,"730d x-drive. Pirkts Vācijā pie dīlera, visi dati par auto pieejami un viegl",https://ss.com/msg/en/transport/cars/bmw/730/commo.html,730,2018,3.0D,48 thd.,"50,000  €"
20,"BMW X5 (173kw), 239000 km, kārba un dzinējs strādā teicami, uzlabota jauda u",https://ss.com/msg/en/transport/cars/bmw/x5/alllj.html,X5,2007,3.0D,239 thd.,"9,200  €"
21,"Pārdod BMW 320i, skate nav izieta, jo ir nepieciešama metināšana gan grīdai ",https://ss.com/msg/en/transport/cars/bmw/320/bekxec.html,320,1993,2.0,318 thd.,"4,100  €"
22,"Pārdodu BMW X6 Xdrive 210 kw
Labā tehniskā un vizuālā stāvokli. Dinamisks u",https://ss.com/msg/en/transport/cars/bmw/x6/beenmb.html,X6,2008,3.0D,293 thd.,"13,500  €"
23,"Pārdodu e46 Facelift 2.0d 110kw
Svaigi izieta tehniskā apskate nomaksāti vi",https://ss.com/msg/en/transport/cars/bmw/320/bddiij.html,320,2002,2.0D,518 thd.,"2,250  €"
24,"F11 535D 220kW auto no Vācijas ievest gadu atpakaļ. 
M sporta ritošā, Sport",https://ss.com/msg/en/transport/cars/bmw/535/gclxb.html,535,2010,3.0D,292 thd.,"13,000  €"
25,"Газ/бензин. 
Продаю авто в хорошем состоянии. Все технические обслуживания ",https://ss.com/msg/en/transport/cars/bmw/x5/bhnhho.html,X5,2008,4.8,266 thd.,"10,000  €"
26,Ideāls projekta auto. Dokumenti kārtībā. Nodokļu parādu nav. Šobrīd stāv sau,https://ss.com/msg/en/transport/cars/bmw/518/ahnxh.html,518,1984,1.8,200 thd.,"3,650  €"
27,"Luxury - 
2.0 Tdi 140 kw. 190 zs. xDrive, ekonomisks 5l / 100 km. , 
B paa",https://ss.com/msg/en/transport/cars/bmw/420/bpfihk.html,420,2015,2.0D,-,"15,600  €"
28,"320d E90 Sedans, ādas sēdekļi, klimata kontrole, multistūre, borta kompjūter",https://ss.com/msg/en/transport/cars/bmw/320/bjopdb.html,320,2007,2.0D,-,"3,490  €"
29,"2.5i Manuāls, klimatkontrole, el. ādas sēdekļi ar apsildi un atmiņu, lūka, b",https://ss.com/msg/en/transport/cars/bmw/523/gxggn.html,523,1999,2.5,321 thd.,"1,490  €"
30,"525d E60 M-Sport pakete. Rekāro ādas sēdekļi, parkošanās sensori, klimatkont",https://ss.com/msg/en/transport/cars/bmw/525/fbhgo.html,525,2006,2.5D,242 thd.,"4,490  €"
31,Pārdodu BMW 645 labā stāvoklī. Turēts garāžā. Ziemā nebraucu. Virsū stāv R19,https://ss.com/msg/en/transport/cars/bmw/645/ajgpx.html,645,2004,4.5,131 thd.,"9,500  €"
32,"Dzīvs, nenodzīts E46. Facelift modelis 2004 gada beigas. Ļoti ekonomisks un ",https://ss.com/msg/en/transport/cars/bmw/320/beipfx.html,320,2004,2.0D,350 thd.,"2,300  €"
33,Black Sapphire Metallic Facelift BMW 520D Business package ar 6 ātrumu mehān,https://ss.com/msg/en/transport/cars/bmw/520/fpjko.html,520,2010,2.0D,-,"5,900  €"
34,"Pārdodu 116i ar manuālo 6 robu kārbu, auto ir burtiski teicamā stāvoklī, tik",https://ss.com/msg/en/transport/cars/bmw/116/dhfmb.html,116,2007,1.6,178 thd.,"5,600  €"
35,M Sportpacket Šodien izieta tehniskā Black Sapphire Metallic BMW X5 3.0D 4x4,https://ss.com/msg/en/transport/cars/bmw/x5/dojid.html,X5,2006,3.0D,-,"7,300  €"
36,"2.0d GT M-Spot Pakete. Automāts, panorāmas lūka, 360 kamera, navigācija, mul",https://ss.com/msg/en/transport/cars/bmw/318/aofpm.html,318,2014,2.0D,245 thd.,"14,990  €"
37,"2.0d Ādas salons, klimatkontrole, multistūre, kruīzkontrole, stereo. 

Jūs",https://ss.com/msg/en/transport/cars/bmw/318/eedmi.html,318,2005,2.0D,316 thd.,"2,290  €"
38,"Facelift 3.0d X-Drive manuāls, cic multimēdija, elektro vadāmi rekāro apsild",https://ss.com/msg/en/transport/cars/bmw/525/fdmgi.html,525,2008,3.0D,349 thd.,"3,990  €"
39,"Bmw x3 3.0d 230 kw dzinējs, 8 pakāpju automātiskā ātrumkārba. Tikko no Franc",https://ss.com/msg/en/transport/cars/bmw/x3/bbohhl.html,X3,2012,3.0D,-,"13,300  €"
40,"4.4i V8 Komforta ādas sēdekļi ar apsildi un atmiņu, klimatkontrole, tonēti s",https://ss.com/msg/en/transport/cars/bmw/x5/goiln.html,X5,2000,4.4,206 thd.,"3,990  €"
41,"3.0d Sportpakete, dsp mūzikas sistēma, panorāmas lūka, rekāro ādas sēdekļi a",https://ss.com/msg/en/transport/cars/bmw/x5/bfdkoh.html,X5,2005,3.0D,413 thd.,"5,490  €"
42,"Performance X5 M50d 280kw. Komforta ādas sēdekļi ar ventilāciju un apsildi, ",https://ss.com/msg/en/transport/cars/bmw/x5/bkgleh.html,X5,2014,3.0D,265 thd.,"29,990  €"
43,"Mazlietots 325i E46 Sedans. Harmankardon mūzikas sistēma, elektro vadāmi āda",https://ss.com/msg/en/transport/cars/bmw/325/fieco.html,325,2002,2.5,151 thd.,"3,990  €"
44,"3.0d E60. Lūka, klimatkontrole, stereo, ādas sēdekļi, multistūre, borta komp",https://ss.com/msg/en/transport/cars/bmw/530/bjnohi.html,530,2004,3.0D,398 thd.,"3,990  €"
45,"3.0d X-Drive, automāts, navigācija, parkošanās sensori, klimatkontrole, ster",https://ss.com/msg/en/transport/cars/bmw/530/bjlljo.html,530,2006,3.0D,351 thd.,"4,490  €"
46,"530d E60 M-sport R18 lietie diski, ādas sēdekļi ar apsildi, multistūre, klim",https://ss.com/msg/en/transport/cars/bmw/530/bihgjh.html,530,2006,3.0D,280 thd.,"4,490  €"
47,"3.0 E60 Komforta ādas sēdekļi ar atmiņu un apsildi, aizmugurējie saulessargi",https://ss.com/msg/en/transport/cars/bmw/530/epkcf.html,530,2003,3.0,230 thd.,"3,490  €"
48,"530d E60 Ādas sēdekļi, parkošanās sensori, klimatkontrole, stereo, lietie di",https://ss.com/msg/en/transport/cars/bmw/530/eepmc.html,530,2003,3.0D,380 thd.,"3,490  €"
49,"530 GT , Softclose, keyless, kamera, ventilējami un apsildāmi komforta ādas ",https://ss.com/msg/en/transport/cars/bmw/530/bgmbb.html,530,2009,3.0D,283 thd.,"13,990  €"
50,"2.0d 135kw. Apsildāma multistūre, apsildāmi sēdekļi, elektro bagāžnieks, par",https://ss.com/msg/en/transport/cars/bmw/520/enbge.html,520,2012,2.0D,350 thd.,"8,990  €"
51,"2.0d Automāts, rekāro ādas sēdekļi, navigācija, parkošanās sensori, klimatko",https://ss.com/msg/en/transport/cars/bmw/x3/bokmex.html,X3,2008,2.0D,226 thd.,"5,990  €"
52,"Pārdodu sakarīgu x5 ar benzīna dzinēju un manuālo kārbu. 
Ideāls auto ziema",https://ss.com/msg/en/transport/cars/bmw/x5/dnkjo.html,X5,2002,3.0,265 thd.,"3,199  €"
