,description,url,Model,Year,Volume,Run,Price
0,"Mašīna teicamā kartībā, ekonomiska (degvielas pateriņš 7, 5 l) . 
Papildapr",https://ss.com/msg/en/transport/cars/dacia/sandero/bmghhp.html,Sandero,2022,1.0,14 thd.,"15,600  €"
1,"Automašīna no Vācijas Latvijā netika izmantota, labā vizuālā un tehniskā stā",https://ss.com/msg/en/transport/cars/dacia/duster/blllfb.html,Duster,2013,1.6,121 thd.,"7,490  €"
2,1.5 dīzelis 81kw. 4x4 pilnpiediņa. Auto pirkts jauns no salona Rīgā un visu ,https://ss.com/msg/en/transport/cars/dacia/duster/blljxk.html,Duster,2012,1.5D,237 thd.,"5,900  €"
3,"Automašīna braucamā stāvoklī ar manāmiem defektiem. Lai izietu csdd apskati,",https://ss.com/msg/en/transport/cars/dacia/logan/bxxfo.html,Logan,2006,1.6,110 thd.,600  €
4,"Jaunais Dacia Jogger LE Extreme 110Tce 7-seats ar vid. degv. pat 5, 7l/100 k",https://ss.com/msg/en/transport/cars/dacia/another/bcmhcm.html,Another,2022,1.0,5,"23,200  €"
5,"147.000Km, Latvijā pirkta jauna, Jauna TA uz gadu, glīts salons, kondicionie",https://ss.com/msg/en/transport/cars/dacia/logan/djbdk.html,Logan,2007,1.6,-,"1,390  €"
6,"Dacia Sandero Stepway Tce 100zs, benzīns/Lpg gāze, 6mt, komplektācija Comfor",https://ss.com/msg/en/transport/cars/dacia/sandero/bllnek.html,Sandero,2022,1.0,6.5 thd.,"17,660  €"
7,Продаю автомобиль в отличном состоянии. Dacia Logan Mcv 2013г. 1.2 газ/бензи,https://ss.com/msg/en/transport/cars/dacia/logan/bdiplc.html,Logan,2013,1.2,124 thd.,"4,950  €"
8,"Pārdodam Dacia Duster ar ekonomisku dīzeļa dzinēju .

Ir pieejami vairāki ",https://ss.com/msg/en/transport/cars/dacia/duster/bolicc.html,Duster,2018,1.5D,123 thd.,"13,500  €"
9,Pardodu labu auto ar nomaksatiem nodokliem un jaunu nehnisko apskati.,https://ss.com/msg/en/transport/cars/dacia/logan/chncn.html,Logan,2008,1.4,156 thd.,"1,500  €"
10,"Dacia Dusters Comfort 1, 3 Tce 130 2Wd, ar vid. degv. pat 6, 3l/100km un Co2",https://ss.com/msg/en/transport/cars/dacia/duster/bolckx.html,Duster,2022,1.3,5,"18,700  €"
11,"Pārdodu Dacia Logan 66kW 2018.
Carprof garantija 14 mēnešu vai null km. 
R",https://ss.com/msg/en/transport/cars/dacia/logan/cbixex.html,Logan,2018,0.9,69 thd.,"9,499  €"
12,"Dacia Dusters Essential 1, 5 dCi 2Wd ar vid. degv. pat 5l/100km

Aprīkojum",https://ss.com/msg/en/transport/cars/dacia/duster/bnkhnh.html,Duster,2019,1.5D,97 thd.,"13,900  €"
