,description,url,Breed,Age,Price
0,"Отдаю за пожертвование идеального котика, который должен быть в доме единственным любимцRiga",https://ss.com/msg/en/animals/cats/unknown-breed/cbxmnj.html,Unknown breed,5 years,-
1,Pārdodu divus kaķu trauciņusRiga,https://ss.com/msg/en/animals/cats/accessories/bicfjj.html,-,-,20  €
2,Отдам котят в хорошие руки.Daugavpils and reg.,https://ss.com/msg/en/animals/cats/outbred/cxpxcn.html,Outbred,1 mon.,-
3,"Piedāvājam tīršķirnes Skotu fold meitenīti ar retu ""lilac""(ceriņu) krāsu. 
Jaunkudze prMadona and reg.",https://ss.com/msg/en/animals/cats/scottish-fold/bpdexo.html,Scottish fold,2 mon.,500  €
4,"Balti-melna kaķenīte ir mīļuma iemiesojums. 
Atrasta uz ielas, dzemdējusi mazos, nokļuvJelgava and reg.",https://ss.com/msg/en/animals/cats/outbred/jghen.html,Outbred,2 years,70  €
5,"Вот такой красавчик рыжий с розовым носиком до сих пор в приюте. 
Рыжик уже полгода в пJelgava and reg.",https://ss.com/msg/en/animals/cats/outbred/odnjm.html,Outbred,1 years,70  €
6,"”Es tik ļoti ilgojos pēc cilvēka mīlestības, tā ikdienas klātbūtnes blakus man, manā dzīJelgava and reg.",https://ss.com/msg/en/animals/cats/outbred/jbbmg.html,Outbred,5 years,70  €
7,"Rudulis ir īsts skaistulis un mīļuma iemiesojums. 
Viņš meklē to vienīgo cilvēku, kuru Jelgava and reg.",https://ss.com/msg/en/animals/cats/outbred/kxnfg.html,Outbred,4 years,70  €
8,"Kuplā kažociņa īpašniece meklē savas mājas. 
Kaķenīte ir ar neatkarīgu raksturu, nav klJelgava and reg.",https://ss.com/msg/en/animals/cats/outbred/hffcg.html,Outbred,1.5 years,70  €
9,"Šis strīpainis skaistulis ir nopietns kaķu kungs. 
Bet neskatoties uz visu nopietnību, Jelgava and reg.",https://ss.com/msg/en/animals/cats/outbred/jhmck.html,Outbred,5 years,70  €
10,"Saņēmuši visas vajadzīgās potes, mums ir Wcf ciltsraksti, kas apliecina to, ka esam šķirRiga district",https://ss.com/msg/en/animals/cats/british-longhair/bkedfo.html,British longhair,4 mon.,300  €
11,Wcf reģistrēta kaķu audzētava piedāva ļoti mīļu meinkūnmeiteni ar zilās krāsas kažociņu.Yurmala,https://ss.com/msg/en/animals/cats/maine-coon/bhhgcj.html,Maine coon,4 mon.,900  €
12,"Британец это аристократизм, интелект. Зипо-очень самостоятельный и забавный котенок. НеоRiga",https://ss.com/msg/en/animals/cats/british-shorthair/kxcci.html,British shorthair,12 mon.,500  €
13,"Малыш Лис ищет дом. Малыш невероятно ласковый. Просто сама нежность. Здоров, отглистованRiga",https://ss.com/msg/en/animals/cats/outbred/jpcmh.html,Outbred,5 mon.,20  €
14,"Вот такая, неземная, красота, по имени Сима, ищет дом. 
Девочка молоденькая, около 12 мRiga",https://ss.com/msg/en/animals/cats/outbred/alexp.html,Outbred,12 mon.,100  €
15,"Британец-это сильный, крепкий, добрый и умный кот. А сочетание британской породы с драгоRiga",https://ss.com/msg/en/animals/cats/british-shorthair/gciij.html,British shorthair,9 mon.,700  €
16,"Здоровенькая, шустренькая розовая девочка, готова переехать к очень любящим и ответственYurmala",https://ss.com/msg/en/animals/cats/don-sphynx/mjlfx.html,Don sphynx,2.5 mon.,380  €
17,Две милые девочки - прекрасные представительницы своей породы и окраса. Пятнистый окрас Riga,https://ss.com/msg/en/animals/cats/british-shorthair/bjcjd.html,British shorthair,3 mon.,220  €
18,"Runčuks vārdā “Mazais” - viens no astainīšiem, kuram bija savas mājas. 
Bija. Bet to atJelgava and reg.",https://ss.com/msg/en/animals/cats/outbred/bbdplo.html,Outbred,4 years,70  €
19,"Остались 2 которебёнка , мальчик и девочка. Котята здоровенькие, игривые. Приучены к горRiga",https://ss.com/msg/en/animals/cats/outbred/eelle.html,Outbred,2 mon.,20  €
20,"Великолепная красавица Мия ищет дом. Девочка здорова, стерилизована, вакцинирована. Она Riga",https://ss.com/msg/en/animals/cats/neva-masquerade/enjle.html,Neva masquerade,18 mon.,50  €
